formno,variable_name,variable_label,var_value,value_label
form21_2018,regcode,Name of Regions,1,Region I (Ilocos Region)
form21_2018,regcode,Name of Regions,2,Region II (Cagayan Valley)
form21_2018,regcode,Name of Regions,3,Region III (Central Luzon)
form21_2018,regcode,Name of Regions,41,Region IV-A (CALABARZON)
form21_2018,regcode,Name of Regions,42,Region IV-B (MIMAROPA)
form21_2018,regcode,Name of Regions,5,Region V (Bicol Region)
form21_2018,regcode,Name of Regions,6,Region VI (Western Visayas)
form21_2018,regcode,Name of Regions,7,Region VII (Central Visayas)
form21_2018,regcode,Name of Regions,8,Region VIII (Eastern Visayas)
form21_2018,regcode,Name of Regions,9,Region IX (Zamboanga Peninsula)
form21_2018,regcode,Name of Regions,10,Region X (Northern Mindanao)
form21_2018,regcode,Name of Regions,11,Region XI (Davao Region)
form21_2018,regcode,Name of Regions,12,Region XII (SOCCSKSARGEN)
form21_2018,regcode,Name of Regions,13,National Capital Region (NCR)
form21_2018,regcode,Name of Regions,14,Cordillera Administrative Region (CAR)
form21_2018,regcode,Name of Regions,15,Autonomous Region In Muslim Mindanao (ARMM)
form21_2018,regcode,Name of Regions,16,Region XIII (CARAGA)
form21_2018,provhuc,Province and HUCs Level,1,Ilocos Norte
form21_2018,provhuc,Province and HUCs Level,2,Ilocos Sur
form21_2018,provhuc,Province and HUCs Level,3,La Union
form21_2018,provhuc,Province and HUCs Level,4,Pangasinan
form21_2018,provhuc,Province and HUCs Level,5,Batanes
form21_2018,provhuc,Province and HUCs Level,6,Cagayan Province
form21_2018,provhuc,Province and HUCs Level,7,Isabela Province
form21_2018,provhuc,Province and HUCs Level,8,Nueva Vizcaya
form21_2018,provhuc,Province and HUCs Level,9,Quirino
form21_2018,provhuc,Province and HUCs Level,10,Bataan
form21_2018,provhuc,Province and HUCs Level,11,Bulacan
form21_2018,provhuc,Province and HUCs Level,12,Nueva Ecija
form21_2018,provhuc,Province and HUCs Level,13,Angeles City
form21_2018,provhuc,Province and HUCs Level,14,Pampanga
form21_2018,provhuc,Province and HUCs Level,15,Tarlac
form21_2018,provhuc,Province and HUCs Level,16,Zambales
form21_2018,provhuc,Province and HUCs Level,17,Olongapo City
form21_2018,provhuc,Province and HUCs Level,18,Aurora
form21_2018,provhuc,Province and HUCs Level,19,Batangas
form21_2018,provhuc,Province and HUCs Level,20,Cavite
form21_2018,provhuc,Province and HUCs Level,21,Laguna
form21_2018,provhuc,Province and HUCs Level,22,Quezon Province
form21_2018,provhuc,Province and HUCs Level,23,Lucena City
form21_2018,provhuc,Province and HUCs Level,24,Rizal
